Guest,Ms.Annikki Pietikäinen,Ms.Line Kristiansen,Mr.Koppány Baranyi,Ms.Yukiko Koyama,Ms.Johanna Wechsler,Mr.Kristof Kuntz,Ms.Živana Breceljnik,Ms.Jitakatefuari ,Mr.Bao Chin,Mrs.Bikatu Bataev,Mr.Teppo Lydman,Ms.Adabella Quezada,Ms.Apolonia Kucharska,Ms.Lundy Moquin,Mr.Jonathan Jessen,Mrs.Jonna Parras,Mr.Eduardo Santos,Mr.Joao Ribeiro,Mr.Meikuaritakufu ,Mr.Géza Kovács,Mr.Uzor Pál,Mr.Þorgrímur Búason,Mr.Shamsuddi Desheriyev,Ms.Orzsebet Lendvai,Mrs.Sarah Mortensen,Ms.Miranda Zaragamba,Mrs.Huan Yue Shen,Mr.Cicerón Ozuna,Mr.Shikimirikashite ,Mr.Loren Pullman
Ms.Annikki Pietikäinen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms.Line Kristiansen,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Koppány Baranyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms.Yukiko Koyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms.Johanna Wechsler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Kristof Kuntz,,,,,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
Ms.Živana Breceljnik,,,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,
Ms.Jitakatefuari ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Bao Chin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs.Bikatu Bataev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Teppo Lydman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms.Adabella Quezada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms.Apolonia Kucharska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms.Lundy Moquin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Jonathan Jessen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs.Jonna Parras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Eduardo Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Joao Ribeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Meikuaritakufu ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Géza Kovács,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Uzor Pál,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Þorgrímur Búason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Shamsuddi Desheriyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms.Orzsebet Lendvai,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
Mrs.Sarah Mortensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms.Miranda Zaragamba,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,
Mrs.Huan Yue Shen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Cicerón Ozuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Shikimirikashite ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Loren Pullman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
