Guest,Ms.Annikki Pietikäinen,Ms.Line Kristiansen,Mr.Koppány Baranyi,Ms.Yukiko Koyama,Ms.Johanna Wechsler,Mr.Kristof Kuntz,Ms.Živana Breceljnik,Ms.Jitakatefuari ,Mr.Bao Chin,Mrs.Bikatu Bataev,Mr.Teppo Lydman,Ms.Adabella Quezada,Ms.Apolonia Kucharska,Ms.Lundy Moquin,Mr.Jonathan Jessen,Mrs.Jonna Parras,Mr.Eduardo Santos,Mr.Joao Ribeiro,Mr.Meikuaritakufu ,Mr.Géza Kovács,Mr.Uzor Pál,Mr.Þorgrímur Búason,Mr.Shamsuddi Desheriyev,Ms.Orzsebet Lendvai,Mrs.Sarah Mortensen,Ms.Miranda Zaragamba,Mrs.Huan Yue Shen,Mr.Cicerón Ozuna,Mr.Shikimirikashite ,Mr.Loren Pullman,Mrs.Chinyere Onwuka,Ms.Quinzia Schiavone,Mr.Ross Morrison,Mr.Yasser Hakimi,Mr.Leal D'Aoust,Dr.Hólmfríður Örlygsdóttir,Mr.Khalil Alonso,Mrs.Tiina Johanson,Ms.???? ??????????,Mrs.Yobachi Chukwueloka,Mr.Satish Muntslag,Ms.Franziska Beich,Mrs.Lia Göransson,Mrs.Zuzanna McIntosh,Ms.Susanne Richter,Mr.Carel Voesten,Mr.Zoran Musa,Mr.Alistair Wallace,Mr.Marcel Lindholm,Ms.Anna Frederiksen,Mr.Arimimochichi ,Ms.Bahijah Gaber,Mrs.Signe Olsen,Mr.Steffen Nacht,Mrs.Ivon Weiland,Ms.Christin Meyer,Mr.Isaiah Tokaryev,Mr.Cheney Huppé,Ms.Ebelechukwu Chineze,Ms.Laura McDonald,Mr.Metody Symanski,Mr.Fletcher Boivin,Dr.Majda Žagovec,Mr.Johan Piekkanen,Ms.Raison Vaillancourt,Mrs.Love Konovalova,Mrs.Arichikunorikatokiku ,Mrs.Renata Longo,Mr.Corey Thomas,Mrs.Nea Holappa,Ms.Stéphanie Caya,Mr.Marco Werner,Mrs.Rhea Gibson,Mr.Justin Åberg,Mr.Zygmunt Wi?niewski,Mrs.Justyna Wysocka,Mr.Andreas Bruheim,Ms.Kyong Geraci,Mr.Izaak Dudek,Mrs.Tiblets Robel,Mr.Luiz Correia,Ms.Jitka Sobotková,Ms.Kutakizikazukuchiri ,Mr.Cono Berrios,Mr.Yuuho Souma,Mr.Trahand Burrows,Mr.Saidalim Timayev,Ms.Zulfija Livk,Ms.Kenzie Bell,Mr.Makar Korovin,Mrs.Yan Ch'in,Mrs.Bao Chin,Mrs. Anna Holmes,Mr. Kerry Holmes,Mr. Finley Holmes,Mr. Tom Howells
Ms.Annikki Pietikäinen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms.Line Kristiansen,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Koppány Baranyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms.Yukiko Koyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms.Johanna Wechsler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Kristof Kuntz,,,,,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms.Živana Breceljnik,,,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms.Jitakatefuari ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Bao Chin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs.Bikatu Bataev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Teppo Lydman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
